"articleDate","articleName","articleSource","articleLink"
"2018-07-18","【公關組】泰、越、印學生臺灣農村駐點 農村經驗新南向","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43638"
"2018-07-18","【媒體報導】學童變身「實習醫生」 愛興暑期營學縫豬皮、模擬抽血","自由時報","https://www2.nchu.edu.tw/news-detail/id/43634"
"2018-07-18","【公關組】中彰投苗四縣市結合興大 攜手守護石虎","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43636"
"2018-07-17","【公關組】「愛興小小醫師營」超熱門 小學生體驗當醫生","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43625"
"2018-07-13","【公關組】興大校諮會 歷任校長共提建言","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43617"
"2018-07-10","【媒體報導】學者倡燃煤機組「超超臨界」減污 兼顧民生與環境","自由時報","https://www2.nchu.edu.tw/news-detail/id/43597"
"2018-07-06","【公關組】興大EMBA越南台商組  107學年度開始招生","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43581"
"2018-07-06","【媒體報導】木瓜博士出頭天 葉錫東獲選中研院院士","中央社","https://www2.nchu.edu.tw/news-detail/id/43575"
"2018-07-06","【媒體報導】興大研發有感覺的軟性機器人 可觸診把脈","中央社","https://www2.nchu.edu.tw/news-detail/id/43524"
"2018-07-06","【公關組】2興大人當選中研院院士 興大雙喜臨門","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43578"
"2018-07-06","【媒體報導】描繪國軍震災搶救 翁浩雲獲文藝金像獎","中央社","https://www2.nchu.edu.tw/news-detail/id/43564"
"2018-07-03","【公關組】國軍第51屆「文藝金像獎」 興大藝術中心開展","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43557"
"2018-07-03","【媒體報導】強化知識經濟新思維 興大人文空間應經坊開幕","中央社","https://www2.nchu.edu.tw/news-detail/id/43556"
"2018-07-03","【公關組】亞太事務青年培訓營 7/2-7/5興大登場","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43555"
"2018-07-02","【公關組】興大醫工所王惠民教授皮膚美粧品研發技術 獲國際矚目","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43551"
"2018-07-02","【學者評論】蔡東杰》中美較勁 台海成新隱患","中國時報","https://www2.nchu.edu.tw/news-detail/id/43550"
"2018-07-02","【媒體報導】寶成龔松煙＋宏全曹宏宇 興大EMBA 有兩位大明星","中國時報","https://www2.nchu.edu.tw/news-detail/id/43548"
"2018-06-29","【公關組】興大生科院主辦第34屆生物夏令營「生科學人金門戰鬥營」","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43534"
"2018-06-29","【媒體報導】全國性《生科學人金門戰鬥營》6/26登場","金門日報","https://www2.nchu.edu.tw/news-detail/id/43531"
"2018-06-26","【公關組】興大與政大合作成立「AVM教育及推廣平台」","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43518"
"2018-06-26","【公關組】興大研發出有感覺的軟性機器人 登國際期刊","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43507"
"2018-06-26","【公關組】2018年歐盟學術研討會 興大國政所大放異彩","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43487"
"2018-06-25","【學生投稿】大國競逐、小國避險：「川金會」後美中朝韓各得到了什麼？","The News Lens","https://www2.nchu.edu.tw/news-detail/id/43484"
"2018-06-25","【媒體報導】明台攜手興大 義大利主廚進校園","中國時報","https://www2.nchu.edu.tw/news-detail/id/43482"
"2018-06-22","【媒體報導】台灣之光 雙喜臨門 黃宗成父女同獲獎","自立晚報","https://www2.nchu.edu.tw/news-detail/id/43478"
"2018-06-22","【公關組】興大學生參與正瀚體驗營 開創產學研合作三贏","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43467"
"2018-06-22","【媒體報導】土雞保種的30年漫漫長路，創造臺灣的基因寶庫","農傳媒","https://www2.nchu.edu.tw/news-detail/id/43466"
"2018-06-22","【學者評論】顧可飛塑化劑超標 台應學到教訓（譚偉恩）","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/43460"
"2018-06-22","【媒體報導】探索興大惠蓀林場 暑假到森林學爬樹","聯合報","https://www2.nchu.edu.tw/news-detail/id/43459"
