"articleDate","articleName","articleSource","articleLink"
"2018-06-25","""賀！林耀東特聘教授指導之博士生曾靖樺同學因永續研究優異表現，榮獲已有110年歷史之美國A&WMA學會頒獲優秀學生獎及高額獎學金”","null","https://www2.nchu.edu.tw/news-detail/id/43480"
"2018-04-02","恭賀！本校獲得二件「科技部106年度傑出技術移轉貢獻獎」！","null","https://www2.nchu.edu.tw/news-detail/id/42890"
"2018-02-21","恭賀 工學院王國禎院長榮獲2017年美國機械工程師協會(ASME)會士(Fellow)","null","https://www2.nchu.edu.tw/news-detail/id/42563"
"2018-02-06","恭賀本校電機系林俊良教授獲科技部106年度「傑出特約研究員」殊榮","null","https://www2.nchu.edu.tw/news-detail/id/42510"
"2018-01-10","恭賀！本校研發成果技術移轉獎勵名單~~","null","https://www2.nchu.edu.tw/news-detail/id/42324"
"2017-12-25","本校107年度「優秀年輕學者懷璧獎獎助計畫」獲獎名單","null","https://www2.nchu.edu.tw/news-detail/id/42209"
"2017-12-06","恭賀農資學院學生參加農委會106年度暑期職涯探索，榮獲佳績","null","https://www2.nchu.edu.tw/news-detail/id/42055"
"2017-12-05","賀!資工系學生林郁傑代表臺灣組隊參加於哥斯大黎加-聖荷西舉行的「WRO2017國際奧林匹克機器人哥斯大黎加國際賽」，榮獲競賽高中組第七名。","null","https://www2.nchu.edu.tw/news-detail/id/42040"
"2017-12-04","賀~中興大學企業管理學系張曼玲老師榮獲科技部106年吳大猷先生紀念獎","null","https://www2.nchu.edu.tw/news-detail/id/41897"
"2017-11-29","恭賀本校企管系張曼玲助理教授獲科技部106年「吳大猷先生紀念獎」殊榮","null","https://www2.nchu.edu.tw/news-detail/id/41970"
"2017-11-28","東京威力科創機器人大賽最終決賽登場 中興大學機械系奪總冠軍","null","https://www2.nchu.edu.tw/news-detail/id/41951"
"2017-08-15","「科技部105年度大專學生研究計畫研究創作獎」本校獲獎名單","null","https://www2.nchu.edu.tw/news-detail/id/40844"
"2017-08-09","★本校106年度「傑出青年教師獎勵」獲獎名單","null","https://www2.nchu.edu.tw/news-detail/id/40787"
"2017-08-04","國立中興大學105學年度 普通化學會考得獎名單","null","https://www2.nchu.edu.tw/news-detail/id/34927"
"2017-06-27","賀！許美鈴教授指導研究生盧柏超、賴德偉參加「15屆中華民國解剖學學會碩博士研究生論文競賽」榮獲-『碩士組第一名』、『博士組第二名』","null","https://www2.nchu.edu.tw/news-detail/id/40464"
